sequenceID	designation	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	minor_subsublineage	outgroup
OA04_1981	1V_J_outgroup	1	1V	1V_J	-	-	-	outgroup
KF184975.1_2013-04	1VII	1	1VII	1VII_A	-	-	-	-
MN577472.1_2019-07	1VII_A	1	1VII	1VII_A	-	-	-	-
MW243006.1_2016-06-19	1VII_A	1	1VII	1VII_A	-	-	-	-
MZ130532.1_2016-04-06	1VII_A	1	1VII	1VII_A	-	-	-	-
MZ130534.1_2019-05-28	1VII_A	1	1VII	1VII_A	-	-	-	-
MZ130535.1_2016-05-09	1VII_A	1	1VII	1VII_A	-	-	-	-
MZ857205.1_2013	1VII_A	1	1VII	1VII_A	-	-	-	-
OR389286.1_1985	1VII_A_outgroup	1	1VII	-	-	-	-	outgroup
JQ922546.1_1971	1VII_B_outgroup	1	1VII	-	-	-	-	outgroup
LC707382.1_2021-06-30	1VII_B	1	1VII	1VII_B	-	-	-	-
MG877557.1_2012	1VII_B	1	1VII	1VII_B	-	-	-	-
OQ593388.1_2017-06-24	1VII_B	1	1VII	1VII_B	-	-	-	-
OQ593389.1_2017-06-21	1VII_B	1	1VII	1VII_B	-	-	-	-
OQ593392.1_2017-04-13	1VII_B	1	1VII	1VII_B	-	-	-	-
JQ922550.1_1971	2I	2	2I	-	-	-	-	-
JQ922552.1_1960	2I	2	2I	-	-	-	-	-
JQ922553.1_1980	2I	2	2I	-	-	-	-	-
JX966379.1_1994	2I	2	2I	-	-	-	-	-
MW946478.1_1974	2I_outgroup	2	2I	-	-	-	-	outgroup
MW946575.1_1996	2I	2	2I	-	-	-	-	-
GQ398257.1_1977	2II_outgroup	2	2II	-	-	-	-	outgroup
AP002_1969	2II_A	2	2II	2II_A	-	-	-	-
GQ398258.1_1975	2II_A_outgroup	2	2II	2II_A	-	-	-	outgroup
JQ922551.1_2005	2II_A.1_outgroup	2	2II	2II_A	2II_A.1	-	-	outgroup
KF041236.1_2008	2II_A.1	2	2II	2II_A	2II_A.1	-	-	-
MW512410.1_2014	2II_A.1	2	2II	2II_A	2II_A.1	-	-	-
OM681318.1_2021-11-16	2II_A	2	2II	2II_A	-	-	-	-
DQ448231.2_2001	2II_A.1.1_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.1	-	outgroup
KU509271.1_2006	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	-	-
ON123652.1_2020	2II_A.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	-	-
JQ955624.1_2011	2II_A.1.1.1_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	outgroup
KY937187.1_2015	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
KY937189.1_2015	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
MH822944.1_2012-10-08	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
MK858115.2_2017-09-08	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
MW512370.1_2012	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
ON109598.1_2021	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
ON123651.1_2020	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
OP684207.1_2019-10-13	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
OP684211.1_2019-10-19	2II_A.1.1.1	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.1	-
MH822940.1_2014	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	-
MH891768.1_2016-10-26	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	-
MW512412.1_2014	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	-
MZ857221.1_2017	2II_A.1.1.2_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	outgroup
OR236111.1_2016-05	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	-
OR236112.1_2016-05	2II_A.1.1.2	2	2II	2II_A	2II_A.1	2II_A.1.1	2II_A.1.1.2	-
GQ252676.1_2003	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
GQ252677.1_2004	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
KF360005.1_2010-11-01	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
KJ010186.1_2013-10-02	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
KJ830750.1_2014-01-13	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
KM217156.1_2011-08	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
MW946433.1_2007	2II_A.1.2	2	2II	2II_A	2II_A.1	2II_A.1.2	-	-
OR389029.1_2004	2II_A.1.2_outgroup	2	2II	2II_A	2II_A.1	2II_A.1.2	-	outgroup
KY427084.1_2010-09-01	2II_A.2.1_outgroup	2	2II	2II_A	2II_A.2	2II_A.2.1	-	outgroup
LC367234.1_2009-10-08	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
MG560144.1_2014	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
MK783209.1_2018	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
MW512372.1_2012	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
ON123649.1_2020	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
OP310806.1_2018	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
OP310807.1_2019	2II_A.2.1	2	2II	2II_A	2II_A.2	2II_A.2.1	-	-
MG560143.1_2014	2II_A.2.2_outgroup	2	2II	2II_A	2II_A.2	2II_A.2.2	-	outgroup
MH456892.1_2014-10-17	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MH822949.1_2014-10-28	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MK473384.1_2016-05-04	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MN577553.1_2017-06	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MN577554.1_2017-06	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MN577557.1_2017-07	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MN577559.1_2013-04	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
MN577563.1_2013-05	2II_A.2.2	2	2II	2II_A	2II_A.2	2II_A.2.2	-	-
GQ398259.1_1976	2II_B	2	2II	2II_B	-	-	-	-
GQ398263.1_1975	2II_B_outgroup	2	2II	2II_B	-	-	-	outgroup
MN577562.1_2013-05	2II_B	2	2II	2II_B	-	-	-	-
MN577564.1_2014-06	2II_B	2	2II	2II_B	-	-	-	-
OL469512.1_2017-04-30	2II_B	2	2II	2II_B	-	-	-	-
OM317565.1_2020-06-24	2II_B	2	2II	2II_B	-	-	-	-
JN851131.1_2005	2II_C.2_outgroup	2	2II	2II_C	2II_C.2	-	-	outgroup
KF744397.1_2001	2II_C	2	2II	2II_C	-	-	-	-
KF744398.1_2005	2II_C.2	2	2II	2II_C	2II_C.2	-	-	-
KU509269.1_2009	2II_C.1_outgroup	2	2II	2II_C	2II_C.1	-	-	outgroup
KU509276.1_2008	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
KU509277.1_2010	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
MG599592.1_2001	2II_C.2	2	2II	2II_C	2II_C.2	-	-	-
MG599621.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	-	-	-
MG599628.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	-	-	-
MG599631.1_2002	2II_C.2	2	2II	2II_C	2II_C.2	-	-	-
MK783205.1_2018	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
MT832057.1_2015	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
MW512409.1_2013	2II_C	2	2II	2II_C	-	-	-	-
MW512432.1_2014	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
MW512467.1_2016	2II_C	2	2II	2II_C	-	-	-	-
MW881533.1_2021-02-02	2II_C.1	2	2II	2II_C	2II_C.1	-	-	-
OK469352.1_1993	2II_C_outgroup	2	2II	2II_C	-	-	-	outgroup
EU179859.1_2006	2II_D	2	2II	2II_D	-	-	-	-
FJ196853.1_2003	2II_D.3_outgroup	2	2II	2II_D	2II_D.3	-	-	outgroup
JN851130.1_2005	2II_D	2	2II	2II_D	-	-	-	-
JX470186.1_2010	2II_D.2	2	2II	2II_D	2II_D.2	-	-	-
KC762673.1_2008-03-11	2II_D.3	2	2II	2II_D	2II_D.3	-	-	-
KC762675.1_2008-03-08	2II_D.3	2	2II	2II_D	2II_D.3	-	-	-
KC762680.1_2010-04-05	2II_D.2	2	2II	2II_D	2II_D.2	-	-	-
MF043956.1_2016	2II_D.2	2	2II	2II_D	2II_D.2	-	-	-
MH048673.1_2014-12	2II_D.2_outgroup	2	2II	2II_D	2II_D.2	-	-	outgroup
MK564482.1_2017-08-07	2II_D.3	2	2II	2II_D	2II_D.3	-	-	-
MK783204.1_2018	2II_D.2	2	2II	2II_D	2II_D.2	-	-	-
MN018349.1_2015-05-09	2II_D.3	2	2II	2II_D	2II_D.3	-	-	-
MN018352.1_2015-09-07	2II_D.3	2	2II	2II_D	2II_D.3	-	-	-
MN923111.1_2019-08-24	2II_D	2	2II	2II_D	-	-	-	-
MW512364.1_2011	2II_D.1_outgroup	2	2II	2II_D	2II_D.1	-	-	outgroup
MZ857208.1_2013	2II_D.1	2	2II	2II_D	2II_D.1	-	-	-
ON890351.1_2017-08-07	2II_D.2	2	2II	2II_D	2II_D.2	-	-	-
KP012546.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
KT187553.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
KT187557.1_2014	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
KX225485.1_2015	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
MK564478.1_2016-04-22	2II_D.1.1_outgroup	2	2II	2II_D	2II_D.1	2II_D.1.1	-	outgroup
MW721466.1_2014-10	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
MW721468.1_2014-10	2II_D.1.1	2	2II	2II_D	2II_D.1	2II_D.1.1	-	-
KX655788.1_2015	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
MW512415.1_2014	2II_D.1.2_outgroup	2	2II	2II_D	2II_D.1	2II_D.1.2	-	outgroup
MZ857214.1_2014	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
OR236087.1_2014-05	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
OR236114.1_2014-03	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
OR236115.1_2014-12	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
OR236116.1_2014-05	2II_D.1.2	2	2II	2II_D	2II_D.1	2II_D.1.2	-	-
JN851113.1_2006	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
KC762655.1_2007-09-27	2II_E.2	2	2II	2II_E	2II_E.2	-	-	-
KC762656.1_2007-12-11	2II_E.2	2	2II	2II_E	2II_E.2	-	-	-
KM279608.1_2010	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
KR779786.2_2013	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
KU517845.1_2013-04-23	2II_E.2	2	2II	2II_E	2II_E.2	-	-	-
KX380821.1_2012	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
KX452015.1_2014-01	2II_E.1_outgroup	2	2II	2II_E	2II_E.1	-	-	outgroup
KY586700.1_2009	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
MN018351.1_2015-05-17	2II_E.2	2	2II	2II_E	2II_E.2	-	-	-
MT921573.1_2004	2II_E.2_outgroup	2	2II	2II_E	2II_E.2	-	-	outgroup
MW512347.1_2007	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
MW512356.1_2009	2II_E.1	2	2II	2II_E	2II_E.1	-	-	-
MW512414.1_2014	2II_E	2	2II	2II_E	-	-	-	-
OP684198.1_2019-01-20	2II_E.2	2	2II	2II_E	2II_E.2	-	-	-
JN851126.1_2005	2II_F	2	2II	2II_F	-	-	-	-
MK578532.1_2016-04-01	2II_F	2	2II	2II_F	-	-	-	-
MT921572.1_2000	2II_F_outgroup	2	2II	2II_F	-	-	-	outgroup
MW730833.1_2017-07	2II_F.2_outgroup	2	2II	2II_F	2II_F.2	-	-	outgroup
ON890422.1_2019-09-16	2II_F.2	2	2II	2II_F	2II_F.2	-	-	-
OP984834.1_2022-11-20	2II_F.1	2	2II	2II_F	2II_F.1	-	-	-
OQ028230.1_2020-09-07	2II_F.2	2	2II	2II_F	2II_F.2	-	-	-
KX380818.1_2012	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	-	-
MW512416.1_2014	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	-	-
MW512463.1_2016	2II_F.1.1_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	-	outgroup
OP684180.1_2018-07-02	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	-	-
OP684196.1_2019-01-05	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	-	-
OP921000.1_2022-07-29	2II_F.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	-	-
OL414732.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	-
OL414749.1_2020-06	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	-
OL414754.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	-
OL414755.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	-
OL414764.1_2020-08	2II_F.1.1.1	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	-
OP684201.1_2019-08-16	2II_F.1.1.1_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.1	outgroup
LC436675.1_2017-12	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	-
MW512452.1_2016	2II_F.1.1.2_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	outgroup
OM744143.1_2021-11-29	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	-
ON634745.1_2022-03-14	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	-
ON634755.1_2022-03-06	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	-
OP941834.1_2022-11-02	2II_F.1.1.2	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.2	-
OR448787.1_2023-06	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	-
OR821724.1_2022-09	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	-
PP564586.1_2023-10-01	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	-
PP564601.1_2023-10-02	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	-
PP564661.1_2023-10-30	2II_F.1.1.3	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	-
PP757868.1_2023-08-30	2II_F.1.1.3_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.3	outgroup
MN923109.1_2019-07-08	2II_F.1.1.4_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	outgroup
PP411235.1_2022-06-07	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	-
PP411252.1_2022-06-20	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	-
PP411257.1_2022-07-05	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	-
PP446692.1_2022-09-05	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	-
PP446693.1_2022-10-06	2II_F.1.1.4	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.4	-
OM730078.1_2021-11-16	2II_F.1.1.5_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	outgroup
OQ851873.1_2022-10-21	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	-
OR771147.1_2023-07-20	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	-
PP082846.1_2023-09	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	-
PP326753.1_2023-05-11	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	-
PP326828.1_2023-12-13	2II_F.1.1.5	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.5	-
PP082832.1_2023-12	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082833.1_2023-12	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082838.1_2023-11	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082853.1_2023-07	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082854.1_2023-07	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082862.1_2023-04	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP082863.1_2023-04	2II_F.1.1.6	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	-
PP757871.1_2022-06-18	2II_F.1.1.6_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.1	2II_F.1.1.6	outgroup
JF327392.1_2009	2II_F.1.2_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.2	-	outgroup
KX380808.1_2012	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	-	-
MN018356.1_2014-09-23	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	-	-
MW512366.1_2011	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	-	-
MW512400.1_2013	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	-	-
MW512403.1_2013	2II_F.1.2	2	2II	2II_F	2II_F.1	2II_F.1.2	-	-
EPI_ISL_17831898_2023-05-09	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	-	-
MK411559.1_2016-02-23	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	-	-
MK564476.1_2017-08-08	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	-	-
MW512447.1_2015	2II_F.1.3_outgroup	2	2II	2II_F	2II_F.1	2II_F.1.3	-	outgroup
PP269908.1_2022-10-11	2II_F.1.3	2	2II	2II_F	2II_F.1	2II_F.1.3	-	-
KU517846.1_2014-05-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
MN018353.1_2016-06-15	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
MW512377.1_2012	2II_F.2.1_outgroup	2	2II	2II_F	2II_F.2	2II_F.2.1	-	outgroup
MW512379.1_2012	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
MW512465.1_2016	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
MW730819.1_2017-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
MW730830.1_2017-07	2II_F.2.1	2	2II	2II_F	2II_F.2	2II_F.2.1	-	-
KX380810.1_2012	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2.2	-	-
KX380822.1_2012	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2.2	-	-
KX380836.1_2013	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2.2	-	-
KY921904.1_2014-03	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2.2	-	-
MW512406.1_2013	2II_F.2.2	2	2II	2II_F	2II_F.2	2II_F.2.2	-	-
MW512430.1_2014	2II_F.2.2_outgroup	2	2II	2II_F	2II_F.2	2II_F.2.2	-	outgroup
AP001_1969-02-11	2III_A_outgroup	2	2III	2III_A	-	-	-	outgroup
DQ181801.1_1990	2III_A	2	2III	2III_A	-	-	-	-
EU482449.1_2006	2III_A.2	2	2III	2III_A	2III_A.2	-	-	-
FJ639699.1_2002	2III_A	2	2III	2III_A	-	-	-	-
FM210202.1_2004	2III_A.2	2	2III	2III_A	2III_A.2	-	-	-
FM210204.1_2003	2III_A.2	2	2III	2III_A	2III_A.2	-	-	-
FM210217.1_1999	2III_A.1	2	2III	2III_A	2III_A.1	-	-	-
FM210222.1_2004	2III_A.1	2	2III	2III_A	2III_A.1	-	-	-
FM210227.1_2002	2III_A.2	2	2III	2III_A	2III_A.2	-	-	-
FM210235.2_2005	2III_A.1	2	2III	2III_A	2III_A.1	-	-	-
FM210236.2_2004	2III_A.1	2	2III	2III_A	2III_A.1	-	-	-
FM210237.2_2003	2III_A.2_outgroup	2	2III	2III_A	2III_A.2	-	-	outgroup
FM210241.2_2004	2III_A.2	2	2III	2III_A	2III_A.2	-	-	-
KF921931.1_2003	2III_A	2	2III	2III_A	-	-	-	-
KY670633.1_1995-09	2III_A.1_outgroup	2	2III	2III_A	2III_A.1	-	-	outgroup
MW946461.1_1988	2III_A	2	2III	2III_A	-	-	-	-
EU482721.1_2006	2III_B	2	2III	2III_B	-	-	-	-
EU529706.1_2006	2III_B	2	2III	2III_B	-	-	-	-
FJ898450.1_1990	2III_B	2	2III	2III_B	-	-	-	-
GQ398269.1_1994	2III_B	2	2III	2III_B	-	-	-	-
KC294201.1_2009-02-13	2III_B	2	2III	2III_B	-	-	-	-
MN589880.1_1999-04-09	2III_B	2	2III	2III_B	-	-	-	-
EU482726.1_2006	2III_C	2	2III	2III_C	-	-	-	-
EU687212.1_1998	2III_C	2	2III	2III_C	-	-	-	-
EU920839.1_2005-09	2III_C.1_outgroup	2	2III	2III_C	2III_C.1	-	-	outgroup
MW946583.1_2004	2III_C.2_outgroup	2	2III	2III_C	2III_C.2	-	-	outgroup
OK469346.1_1981	2III_C_outgroup	2	2III	2III_C	-	-	-	outgroup
ON123621.1_2021-02-15	2III_C	2	2III	2III_C	-	-	-	-
ON634720.1_2021-02-22	2III_C	2	2III	2III_C	-	-	-	-
OQ445886.1_2022-08-17	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
OQ445887.1_2022-08-16	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
OQ445894.1_2022-10-27	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
OQ821445.1_2019-11-13	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
OQ821468.1_2022-08-18	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
OQ821495.1_2014-02-09	2III_C.2	2	2III	2III_C	2III_C.2	-	-	-
MK517773.1_2017-03-28	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929587.1_2019-01-21	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929617.1_2019-03-06	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929701.1_2019-02-07	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929711.1_2019-03-26	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929713.1_2019-03-27	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929716.1_2016-03-14	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MT929740.1_2019-02-23	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
MW577818.1_2019-05-08	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
ON123823.1_2019-05-09	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
ON634701.1_2021-05-28	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
ON634741.1_2022-04-25	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
ON634744.1_2022-03-11	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
ON634752.1_2022-03-17	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
OQ101603.1_2019-07-04	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
OQ567847.1_2021-04-14	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
OR258575.1_2021-06-10	2III_C.1.1	2	2III	2III_C	2III_C.1	2III_C.1.1	-	-
PP320854.1_2013-07-03	2III_C.1.1_outgroup	2	2III	2III_C	2III_C.1	2III_C.1.1	-	outgroup
OQ740547.1_2022-03-31	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1.2	-	-
OQ740551.1_2022-04-08	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1.2	-	-
OQ740552.1_2022-04-13	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1.2	-	-
OQ740553.1_2022-05-11	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1.2	-	-
OQ821472.1_2014-01-12	2III_C.1.2_outgroup	2	2III	2III_C	2III_C.1	2III_C.1.2	-	outgroup
OQ821475.1_2015-10-28	2III_C.1.2	2	2III	2III_C	2III_C.1	2III_C.1.2	-	-
EU482607.1_2007	2III_D.3	2	2III	2III_D	2III_D.3	-	-	-
EU726775.1_1996	2III_D	2	2III	2III_D	-	-	-	-
EU920828.1_1993-02	2III_D.1_outgroup	2	2III	2III_D	2III_D.1	-	-	outgroup
FJ898461.1_2002	2III_D.1	2	2III	2III_D	2III_D.1	-	-	-
GQ199895.1_1999	2III_D.1	2	2III	2III_D	2III_D.1	-	-	-
GQ868515.1_2007	2III_D.1	2	2III	2III_D	2III_D.1	-	-	-
GQ868553.1_1999	2III_D.3_outgroup	2	2III	2III_D	2III_D.3	-	-	outgroup
GQ868558.1_2007	2III_D.2	2	2III	2III_D	2III_D.2	-	-	-
KJ189305.1_2000	2III_D.3	2	2III	2III_D	2III_D.3	-	-	-
KY474316.1_2014	2III_D.3	2	2III	2III_D	2III_D.3	-	-	-
MH069499.1_2015-09-22	2III_D.2	2	2III	2III_D	2III_D.2	-	-	-
